"LineDiscount","CustomerUnit","Municipality","County","Country","NoOfEmployees","Potential","AccessoryRatio","NSB","CPLow","Days","TargetDays","NrOfOrder","Software"
"No","SMB Small","Helsinki","Uusimaa","Finland","6,5","17797","0,118088","361159,92","0,114523422",7,9999,29,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","14220","0","6950,64","0,034283174",165,9999,2,"No"
"No","SMB Small","Göteborg","Västra Götaland","Sweden","13,4","112426","0,180825","47642,6","0,117701805",22,615,8,"Yes"
"Yes","SMB Mid","Linköping","Östergötland","Sweden","30","351900","0,202378","211440,52","0,102581568",6,361,41,"Yes"
"No","Corporate","Växjö","Kronoberg","Sweden","813","6821070","0","8340","0,183273381",169,9999,1,"No"
"No","SMB Small","Örebro","Örebro","Sweden","-1","0","0,47427","62656,2","0,158860416",259,9999,18,"No"
"Yes","SMB Large","Varde","Syddanmark","Denmark","138,8","1932158","0,165705","916333,65","0,163708776",6,6,109,"Yes"
"No","SMB Mid","Klepp","Rogaland","Norway","45,2","516636","1","4002,71","0,351389434",246,9999,2,"No"
"No","SMB Small","Kristiansand","Vest-Agder","Norway","6,5","144820","0,21012","7353,55","0,054520606",271,9999,2,"No"
"No","SMB Small","Göteborg","Västra Götaland","Sweden","1,3","0","1","495","0,19830303",554,9999,1,"No"
"Yes","SMB Small","Luleå","Norrbotten","Sweden","1,8","15102","0","33840,8","0,159130399",273,9999,1,"No"
"No","SMB Small","Kalmar","Kalmar","Sweden","1,3","14157","0,151657","17922","0,133515791",197,9999,2,"No"
"No","SMB Small","Albertslund","Hovedstaden","Denmark","1,3","0","0","4158,06","0,086083414",551,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","7,8","0","0","10999","0,070110919",649,9999,1,"No"
"No","SMB Small","Pajala","Norrbotten","Sweden","1,3","0","1","2203","0,214979573",631,9999,2,"No"
"No","SMB Small","Espoo","Uusimaa","Finland","1,8","1492,38","0","4525,28","0,050251034",319,319,1,"Yes"
"No","SMB Mid","Not Defined","Not Defined","Sweden","-1","0","0,166072","127047,03","0,117643443",552,552,19,"Yes"
"No","SMB Mid","København","Hovedstaden","Denmark","30","287700","0,193755","19778,82","0,158565071",13,459,6,"Yes"
"No","SMB Small","Nacka","Stockholm","Sweden","6,5","0","0,220965","8137","0,073006022",405,9999,2,"No"
"No","SMB Small","Ovanåker","Gävleborg","Sweden","1,3","29432","0,026506","11280,4","0,097259849",301,9999,2,"No"
"No","SMB Mid","Stockholm","Stockholm","Sweden","68","740520","0,175406","73132,95","0,132512363",84,9999,15,"No"
"Yes","SMB Mid","Järfälla","Stockholm","Sweden","43,4","509082","0,24789","141137,92","0,115237634",64,572,23,"Yes"
"No","SMB Small","Not Defined","Not Defined","Denmark","221","0","0","2350,74","0,163242213",7,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","12024","0,234108","22575","0,192411517",232,9999,6,"No"
"No","SMB Mid","København","Hovedstaden","Denmark","30","406200","0,122814","45644,36","0,104752263",147,9999,11,"No"
"Yes","SMB Mid","København","Hovedstaden","Denmark","30","305400","0,486761","200496,35","0,139565633",209,764,64,"Yes"
"No","SMB Mid","Karlstad","Värmland","Sweden","98","1149540","0,31158","526677,26","0,129616988",33,175,43,"Yes"
"No","SMB Small","Värnamo","Jönköping","Sweden","1,8","0","0","12198,01","0,039369537",664,9999,2,"No"
"No","SMB Mid","Drammen","Buskerud","Norway","30","227100","0,205861","4950,66","0,157415375",53,9999,3,"No"
"Yes","SMB Small","Nacka","Stockholm","Sweden","1,3","13598","0,175524","43529,84","0,127359531",53,533,11,"Yes"
"No","SMB Small","Gotland","Gotland","Sweden","1,8","12024","0,127436","11441","0,206380561",49,9999,5,"No"
"Yes","Corporate","Solna","Stockholm","Sweden","2116,8","19087032","0,336774","116978,36","0,116562328",4,9999,66,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","-1","0","0,016319","19547","0,053442472",95,95,4,"Yes"
"No","SMB Small","Partille","Västra Götaland","Sweden","1,8","0","0,033809","5738","0,219731614",447,9999,1,"No"
"No","Corporate","Vantaa","Uusimaa","Finland","1,8","4928,4","0,262508","9306,13","0,112291576",19,9999,6,"No"
"No","SMB Large","København","Hovedstaden","Denmark","13,4","341298","0,72192","24937,19","0,150133596",252,9999,6,"No"
"No","SMB Small","Burlöv","Skåne","Sweden","6,5","76245","0,110288","53282,46","0,091212756",46,9999,18,"No"
"No","SMB Small","Helsingborg","Skåne","Sweden","1,8","39708","0,287444","88183,93","0,124822743",8,9999,23,"No"
"No","SMB Small","Ski","Akershus","Norway","1,8","20574","0","428,18","0,32208417",211,9999,1,"No"
"No","SMB Small","Helsinki","Uusimaa","Finland","1,8","2497,5","1","3077,48","0,072032962",239,9999,1,"No"
"No","SMB Small","Jönköping","Jönköping","Sweden","6,5","0","0,130391","7048","0,111972191",544,9999,2,"No"
"No","SMB Large","Svendborg","Syddanmark","Denmark","463,9","6281206","0,814401","6462,51","0,153146378",7,9999,2,"No"
"No","SMB Small","Mjölby","Östergötland","Sweden","1,3","14157","0","4289","0,02939613",151,9999,1,"No"
"No","SMB Small","Bengtsfors","Västra Götaland","Sweden","1,8","14220","0","21033","0,059941996",347,347,3,"Yes"
"No","SMB Small","Linköping","Östergötland","Sweden","1,8","39708","0,009349","59683,74","0,075143582",32,9999,6,"No"
"No","SMB Small","Göteborg","Västra Götaland","Sweden","10,8","95796","0,121734","77291","0,119840991",152,9999,16,"No"
"No","SMB Small","Malmö","Skåne","Sweden","13,4","120466","0","1047","0,182636103",83,9999,3,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","19602","0,405584","1959,91","0,154777515",221,9999,2,"No"
"No","SMB Small","Ronneby","Blekinge","Sweden","1,8","0","0,3154","948","0,21306962",643,9999,1,"No"
"No","SMB Small","Not Defined","Not Defined","Sweden","1","0","0","1719","0,146015125",19,9999,1,"No"
"No","SMB Small","Linköping","Östergötland","Sweden","6,5","57655","0,127806","12425","0,096102213",99,9999,2,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","39708","0,179315","47893,32","0,102319488",61,9999,7,"No"
"No","SMB Small","Gentofte","Hovedstaden","Denmark","30","384300","1","14377,38","0,234341027",159,9999,6,"No"
"No","SMB Small","Herlev","Hovedstaden","Denmark","1,8","45594","0,280393","6880,93","0,114574629",15,9999,3,"No"
"No","SMB Small","Bollnäs","Gävleborg","Sweden","1,3","8684","0","517,4","0,325202938",294,9999,1,"No"
"No","SMB Small","Västervik","Kalmar","Sweden","1,3","0","0,091663","10495,01","0,093321493",476,750,2,"Yes"
"Yes","Corporate","Helsingborg","Skåne","Sweden","137","0","0,566658","8241,45","0,169820845",377,9999,4,"No"
"No","SMB Small","Mikkeli","Etelä-Savo","Finland","1,8","2644,38","1","901,53","0,259547658",148,9999,1,"No"
"No","SMB Small","Växjö","Kronoberg","Sweden","6,5","0","0,110168","37016","0,085041063",515,515,3,"Yes"
"No","SMB Small","Køge","Sjælland","Denmark","6,5","0","1","2405,5","0,231980877",651,9999,1,"No"
"No","SMB Mid","Lyngby-Taarbæk","Hovedstaden","Denmark","15,2","145768","0,065373","10424,18","0,106677935",71,9999,4,"No"
"Yes","Public","Granvin","Hordaland","Norway","554,2","4550407,93","0,054186","219055,12","0,068341703",5,9999,10,"No"
"No","SMB Small","Vänersborg","Västra Götaland","Sweden","1,8","18666","0","4992,04","0,039134302",172,9999,1,"No"
"No","SMB Small","Helsinki","Uusimaa","Finland","13,4","36689,2","1","4842,94","0,048297109",336,9999,1,"No"
"No","SMB Small","Århus","Midtjylland","Denmark","-1","16653","0,056017","4128,68","0,04291202",280,9999,1,"No"
"No","SMB Small","Skövde","Västra Götaland","Sweden","1,8","19602","0,036499","125453,2","0,146460672",41,9999,15,"No"
"No","SMB Small","Järfälla","Stockholm","Sweden","1,3","13481","0,053629","11654","0,187611979",337,9999,2,"No"
"No","SMB Small","København","Hovedstaden","Denmark","-1","32929","1","2834,76","0,072623432",64,9999,1,"No"
"Yes","SMB Large","Borlänge","Dalarna","Sweden","1,3","13138,77","0,353511","1602777,97","0,138323176",21,21,224,"Yes"
"No","SMB Small","Hässleholm","Skåne","Sweden","1,8","0","0,643612","9912,8","0,171270479",607,9999,2,"No"
"No","SMB Small","Lerum","Västra Götaland","Sweden","-1","0","0,202322","13607","0,120338796",265,265,4,"Yes"
"No","SMB Small","Hillerød","Hovedstaden","Denmark","1,8","0","0","1905,86","0,192186205",588,9999,1,"No"
"No","SMB Small","Roskilde","Sjælland","Denmark","30","136290","0,313017","9741,79","0,072001141",214,9999,2,"No"
"Yes","SMB Large","Glostrup","Hovedstaden","Denmark","31,8","805494","0,075583","2306724,01","0,124935137",13,90,83,"Yes"
"No","SMB Small","Södertälje","Stockholm","Sweden","30","266100","1","695","0,415597122",123,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","13,4","53881,4","0,009472","46980,61","0,074977315",92,9999,6,"No"
"No","SMB Small","Täby","Stockholm","Sweden","6,5","70785","1","159","0,793081761",64,9999,1,"No"
"No","SMB Small","Rebild","Nordjylland","Denmark","1,3","32929","1","791,69","0,158218495",64,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","19602","1","478","0,399205021",291,9999,1,"No"
"No","SMB Small","Haninge","Stockholm","Sweden","1,8","0","0,183316","33696,02","0,107366686",424,9999,8,"No"
"No","SMB Small","Turku","Varsinais-Suomi","Finland","6,5","6712,55","0","2344,29","0,248714963",232,9999,1,"No"
"No","SMB Small","København","Hovedstaden","Denmark","13,4","171654","0,051621","8836,6","0,15094267",313,9999,2,"No"
"No","SMB Small","Göteborg","Västra Götaland","Sweden","1,8","19602","0,475153","8567,75","0,190542441",49,9999,6,"No"
"No","SMB Small","Helsingør","Hovedstaden","Denmark","6,5","164645","0,57989","15608,18","0,186941078",340,802,5,"Yes"
"No","SMB Small","Botkyrka","Stockholm","Sweden","13,4","0","0","595","0,175815126",503,503,1,"Yes"
"Yes","SMB Mid","Uppsala","Uppsala","Sweden","30","351900","0,216972","263419,41","0,165869364",33,9999,32,"No"
"No","SMB Small","Sundsvall","Västernorrland","Sweden","1,8","0","0,0241","3278","0,137007322",599,9999,1,"No"
"No","SMB Small","Oslo","Oslo","Norway","1,8","10080","1","1664,59","0,30891691",50,9999,1,"No"
"Yes","Corporate","Solna","Stockholm","Sweden","59,3","533107","0,555142","39316","0,158628803",4,9999,45,"No"
"No","SMB Mid","Fjell","Hordaland","Norway","-1","0","0,117436","18720,85","0,073227444",480,9999,5,"No"
"No","SMB Small","Tranås","Jönköping","Sweden","1,3","13598","0,078311","23444,8","0,108179639",188,806,11,"Yes"
"No","SMB Large","Ballerup","Hovedstaden","Denmark","517,4","3973632","1","1490,39","0,173860533",501,9999,2,"No"
"No","SMB Small","Malmö","Skåne","Sweden","1,8","0","0","1994","0,219202608",551,9999,1,"No"
"No","SMB Small","Södertälje","Stockholm","Sweden","13,4","112426","0","4405,12","0,163216893",109,9999,2,"No"
"No","SMB Small","Sotenäs","Västra Götaland","Sweden","1,8","19602","0,04429","9008,7","0,095213516",62,119,2,"Yes"
"No","SMB Small","Svedala","Skåne","Sweden","1,3","0","0","12336,01","0,075450652",693,9999,2,"No"
"No","SMB Small","København","Hovedstaden","Denmark","13,4","181436","0,332872","41939,16","0,16119207",32,9999,6,"No"
"Yes","SMB Small","Motala","Östergötland","Sweden","13,4","140164","0,817887","24127,98","0,093651437",84,9999,4,"No"
"No","SMB Mid","Oslo","Oslo","Norway","13,4","99562","0,142537","172393,19","0,554825164",32,246,3,"Yes"
"Yes","SMB Small","Solna","Stockholm","Sweden","6,5","0","0,801221","807,13","0,473368602",371,9999,1,"No"
"No","SMB Small","Helsingør","Hovedstaden","Denmark","1,3","16653","0","2608,68","0,100606437",36,9999,2,"No"
"No","SMB Small","Göteborg","Västra Götaland","Sweden","1,8","0","0,102016","26388","0,097875171",594,9999,4,"No"
"No","SMB Small","Herning","Midtjylland","Denmark","13,4","102912","1","1768,69","0,167191537",301,9999,1,"No"
"No","SMB Small","Sollefteå","Västernorrland","Sweden","6,5","36003,5","0,079724","3750,4","0,052266425",175,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","15102","0","23963","0,101996411",50,9999,1,"No"
"Yes","SMB Mid","Uppsala","Uppsala","Sweden","30","351900","0,289675","135376,54","0,173698116",18,9999,55,"No"
"Yes","SMB Small","Öckerö","Västra Götaland","Sweden","13,4","145926","0,338272","97327,17","0,125385748",81,9999,13,"No"
"No","SMB Small","Ystad","Skåne","Sweden","1,3","14157","0,389997","24819,22","0,121966766",288,9999,2,"No"
"No","SMB Small","Falun","Dalarna","Sweden","1,3","14157","0,176477","24513","0,113335373",278,677,5,"Yes"
"No","SMB Large","Tårnby","Hovedstaden","Denmark","30","287700","0,825303","9049,99","0,22095273",53,9999,2,"No"
"No","SMB Small","Linköping","Östergötland","Sweden","1,3","0","0,185185","6507","0,188220378",384,9999,2,"No"
"No","SMB Small","Lolland","Sjælland","Denmark","30","158100","0","1261,48","0,069909947",84,9999,1,"No"
"No","SMB Mid","Säffle","Värmland","Sweden","137","1607010","0,169285","232950,22","0,141358956",5,141,69,"Yes"
"No","SMB Mid","København","Hovedstaden","Denmark","30","287700","0,183813","107692,19","0,171573816",96,96,26,"Yes"
"No","SMB Small","Nynäshamn","Stockholm","Sweden","1,3","14157","1","2354","0,06104503",257,9999,1,"No"
"No","SMB Mid","Esbjerg","Syddanmark","Denmark","30","0","3,00E-06","11064,04","0,129203257",711,9999,1,"No"
"Yes","Public","Stockholm","Stockholm","Sweden","6,5","70785","0,186251","124104,37","0,092032134",55,565,37,"Yes"
"Yes","SMB Small","Norrköping","Östergötland","Sweden","1,8","21114","0","23400","0,101980342",244,244,5,"Yes"
"No","SMB Small","Sønderborg","Syddanmark","Denmark","13,4","137484","0,489628","6439,17","0,100435305",331,9999,4,"No"
"No","SMB Small","Järfälla","Stockholm","Sweden","1,8","12024","0,212797","23224","0,116518688",232,9999,4,"No"
"No","SMB Mid","Kvinnherad","Hordaland","Norway","13,4","298552","0,304515","3650,13","0,130904927",253,9999,3,"No"
"No","SMB Small","Lomma","Skåne","Sweden","1,8","0","0,108137","16451,24","0,098036987",426,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","0","0,182031","210875,12","0,112733214",403,9999,43,"No"
"No","SMB Large","Solna","Stockholm","Sweden","299","1364249","0,047037","879460,96","0,106569097",25,9999,204,"No"
"No","SMB Small","NULL","Nord-Trøndelag","Norway","1,3","28964","0,17159","12226,64","0,141365903",43,9999,10,"No"
"Yes","Corporate","Stockholm","Stockholm","Sweden","30","326700","0,132014","569769,46","0,075485636",18,9999,57,"No"
"No","SMB Small","Gällivare","Norrbotten","Sweden","13,4","0","0","11199","0,126916689",582,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","19602","0,056525","19354","0,103484551",124,9999,2,"No"
"No","SMB Mid","Göteborg","Västra Götaland","Sweden","30","251700","0,463206","1123487,35","0,142161289",5,669,105,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,3","29432","0,026982","25164,28","0,053532626",253,9999,4,"No"
"Yes","SMB Large","Västerås","Västmanland","Sweden","492,2","5360058","0,145482","689584,33","0,0981204",5,237,117,"Yes"
"No","SMB Small","Samsø","Midtjylland","Denmark","1,8","0","0","1139,34","0,080414977",630,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","-1","0","0,060061","48983,34","0,067875527",294,9999,2,"No"
"No","SMB Small","Bærum","Akershus","Norway","1,8","13374","0,996026","7341,82","0,28116734",327,9999,5,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","7237,8","0,169171","66134,2","0,118274055",306,9999,8,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","30","679200","0","8999","0,456050672",242,9999,1,"No"
"No","SMB Small","Smedjebacken","Dalarna","Sweden","1,8","21114","0,096623","35198,46","0,041659209",141,9999,5,"No"
"No","SMB Small","Rudersdal","Hovedstaden","Denmark","1,8","18468","0,288302","55478,9","0,127732706",70,9999,15,"No"
"No","SMB Small","Rødovre","Hovedstaden","Denmark","1,3","32929","0,152197","14846,99","0,131191575",46,9999,3,"No"
"No","Public","Helsinki","Uusimaa","Finland","1,8","1981,26","0,241224","61833,23","0,116423968",61,9999,3,"No"
"No","SMB Small","Herlev","Hovedstaden","Denmark","1,8","18324","0,038951","35977,77","0,117651817",18,9999,4,"No"
"No","SMB Small","Rakkestad","Østfold","Norway","1,3","0","0","3232,95","0,1112668",592,610,2,"Yes"
"No","SMB Small","København","Hovedstaden","Denmark","6,5","0","0,526343","2446,52","0,091750732",390,9999,1,"No"
"No","SMB Small","Heby","Uppsala","Sweden","1,8","19602","0,351604","27585","0,156743158",258,9999,4,"No"
"No","SMB Small","Skurup","Skåne","Sweden","1,8","21114","0,150177","25740,29","0,142526755",219,9999,6,"No"
"No","SMB Small","Trondheim","Sør-Trøndelag","Norway","30","162900","0","9637,69","0,033188451",302,9999,1,"No"
"No","SMB Mid","Trondheim","Sør-Trøndelag","Norway","30","269700","0,217134","886582,36","0,2669702",4,35,47,"Yes"
"Yes","SMB Mid","Varde","Syddanmark","Denmark","30","300167","0,310358","100112,59","0,162673146",20,20,37,"Yes"
"No","SMB Small","Täby","Stockholm","Sweden","1,8","19602","0,299477","26416","0,112214188",148,9999,4,"No"
"No","SMB Small","Lund","Skåne","Sweden","1,8","16182","0,209221","4034","0,190423897",287,9999,1,"No"
"No","SMB Small","Ballerup","Hovedstaden","Denmark","6,5","62335","0","3987,18","0,301039833",194,9999,1,"No"
"No","SMB Small","Oslo","Oslo","Norway","1,8","38068","0","12613,35","0,104573329",253,9999,1,"No"
"Yes","Corporate","Stockholm","Stockholm","Sweden","2019,7","17927230,07","0,266984","9607849,89","0,123946303",1,308,1357,"Yes"
"No","SMB Small","Järfälla","Stockholm","Sweden","1,8","7237,8","0,10381","8188","0,077127504",116,9999,2,"No"
"No","Corporate","Botkyrka","Stockholm","Sweden","137","1149430","0,10036","12764","0,20954403",4,9999,5,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","19602","0,252647","17372","0,13157207",273,327,4,"Yes"
"No","SMB Small","Halmstad","Halland","Sweden","1,3","13598","0,024912","4784,8","0,020370757",217,9999,1,"No"
"No","SMB Small","Hedensted","Midtjylland","Denmark","1,3","32929","0","771,36","0,019018357",215,9999,1,"No"
"No","SMB Large","Århus","Midtjylland","Denmark","30","759900","0,184906","86696,07","0,13497959",218,9999,23,"No"
"No","SMB Small","Nacka","Stockholm","Sweden","13,4","0","0,106817","26503,2","0,105504241",572,9999,6,"No"
"No","SMB Small","Rødovre","Hovedstaden","Denmark","1,3","0","1","824,75","0,238241891",566,9999,1,"No"
"No","SMB Small","Karlstad","Värmland","Sweden","1,8","39708","0,50765","10182,2","0,118507788",279,9999,2,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","19602","0","8499","0,057447935",97,9999,1,"No"
"No","SMB Mid","Svenljunga","Västra Götaland","Sweden","137","1607010","0,125975","174160,79","0,087573385",4,9999,13,"No"
"No","SMB Small","Malmö","Skåne","Sweden","1,3","0","0","540","0,247481481",391,9999,1,"No"
"No","SMB Small","Piteå","Norrbotten","Sweden","13,4","303376","0,485006","4035","0,192242875",49,9999,1,"No"
"No","SMB Small","Bornholm","Hovedstaden","Denmark","1,8","23058","0,38008","5132,47","0,055168369",56,9999,2,"No"
"No","SMB Small","Eda","Värmland","Sweden","1,3","15249","0,055166","19508,2","0,112478342",222,9999,3,"No"
"No","Corporate","Lund","Skåne","Sweden","109,9","734132","0,208568","193976,48","0,178218205",47,9999,58,"No"
"No","SMB Mid","Gällivare","Norrbotten","Sweden","69,8","318846,4","0,471792","40805,93","0,150186995",53,9999,7,"No"
"No","SMB Small","Oslo","Oslo","Norway","1,8","12330","0","20570,83","0,426650748",298,298,3,"Yes"
"No","SMB Small","Uppsala","Uppsala","Sweden","1,8","0","0,502925","17436,01","0,146032263",385,9999,3,"No"
"Yes","SMB Small","Östhammar","Uppsala","Sweden","6,5","43420","0","3556","0,069983127",288,9999,1,"No"
"No","SMB Small","Göteborg","Västra Götaland","Sweden","1,8","19602","0","9698","0,082319035",19,9999,2,"No"
"No","SMB Small","Sundsvall","Västernorrland","Sweden","13,4","112426","1,00E-06","23450,04","0,08301649",168,9999,1,"No"
"No","SMB Small","Sollentuna","Stockholm","Sweden","1,8","0","0","15798","0,094501836",544,9999,4,"No"
"No","SMB Small","Skanderborg","Midtjylland","Denmark","1,3","32929","0","4828,06","0,112119568",344,9999,1,"No"
"No","SMB Small","Nacka","Stockholm","Sweden","1,8","19602","0,139704","36598,58","0,084729244",27,9999,7,"No"
"No","SMB Small","Helsingør","Hovedstaden","Denmark","1,3","9984","0","19322,82","0,069233683",7,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","19602","0","27317","0,090601823",104,104,1,"Yes"
"No","SMB Small","Vallentuna","Stockholm","Sweden","13,4","112426","0,135986","227502,93","0,076205172",15,9999,29,"No"
"Yes","SMB Large","Aalborg","Nordjylland","Denmark","137","1854980","0,277734","618455,71","0,180698534",6,435,66,"Yes"
"No","SMB Small","Uppsala","Uppsala","Sweden","1,8","0","0,142017","9182,01","0,100637006",427,9999,2,"No"
"No","SMB Small","Öckerö","Västra Götaland","Sweden","1,8","0","0,186021","19401","0,094006495",438,9999,5,"No"
"No","SMB Mid","Ås","Akershus","Norway","750","1981500","0,272166","215395,24","0,197914634",32,9999,13,"No"
"No","SMB Small","Lidingö","Stockholm","Sweden","1,8","0","0","12991,5","0,067100027",443,443,2,"Yes"
"No","SMB Small","Stockholm","Stockholm","Sweden","13,4","145926","0,018804","180708,04","0,072956079",8,545,12,"Yes"
"Yes","SMB Mid","Stockholm","Stockholm","Sweden","68","603160","0,083689","68261,88","0,071262614",68,911,8,"Yes"
"No","SMB Small","Oslo","Oslo","Norway","13,4","298552","0,175336","72717,85","0,157410044",265,9999,20,"No"
"No","SMB Small","Kaustinen","Keski-Pohjanmaa","Finland","1,8","2399,4","0,352099","18995,9","0,128359804",60,9999,9,"No"
"No","SMB Small","Hamar","Hedmark","Norway","1,8","13374","0,362155","38877,23","0,122319414",221,9999,10,"No"
"No","SMB Small","Linköping","Östergötland","Sweden","1,8","19602","0,080583","14593,52","0,02848319",35,9999,3,"No"
"Yes","SMB Mid","Oslo","Oslo","Norway","163,8","2011464","0,102245","236147,12","0,092476927",27,9999,23,"No"
"No","SMB Small","Täby","Stockholm","Sweden","1,8","0","0,105778","42485","0,142724726",643,9999,3,"No"
"No","SMB Small","Fredericia","Syddanmark","Denmark","-1","17602","0,066105","12754,86","0,156545035",78,9999,2,"No"
"Yes","SMB Mid","Sollentuna","Stockholm","Sweden","138,8","1164532","0,220787","955973,33","0,131302429",146,9999,66,"No"
"No","Corporate","Vellinge","Skåne","Sweden","68","570520","0,010438","175405","0,316270517",33,9999,2,"No"
"No","SMB Small","København","Hovedstaden","Denmark","1,3","16653","0,292438","3961,66","0,068930701",152,9999,2,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","19602","0,005916","50540,16","0,072659248",54,9999,4,"No"
"No","SMB Small","Huddinge","Stockholm","Sweden","13,4","0","0","16926,54","0,105085268",418,418,1,"Yes"
"No","SMB Mid","Uddevalla","Västra Götaland","Sweden","30","351900","0,536039","35128,01","0,183914773",147,9999,5,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","19602","0,579428","6893","0,157279849",173,9999,2,"No"
"No","SMB Small","Falkenberg","Halland","Sweden","30","351900","0,129371","63306,01","0,124979287",273,804,14,"Yes"
"No","SMB Mid","Hørsholm","Hovedstaden","Denmark","30","384300","0,188903","399600,47","0,126599376",11,9999,50,"No"
"No","SMB Small","Lidingö","Stockholm","Sweden","1,3","0","0","6798","0,098604001",638,9999,2,"No"
"No","SMB Small","Danderyd","Stockholm","Sweden","1,8","0","0,546904","3198","0,134849906",524,9999,2,"No"
"No","SMB Small","Skien","Telemark","Norway","1,8","0","0,132142","6695,87","0,153394555",368,9999,2,"No"
"No","SMB Mid","Solna","Stockholm","Sweden","137","3022220","1","5452","0,321095011",27,9999,3,"No"
"Yes","SMB Mid","Oslo","Oslo","Norway","30","668400","0,107138","3601665,22","0,139537791",6,69,138,"Yes"
"No","SMB Mid","Oslo","Oslo","Norway","30","222900","0,407568","294154,79","0,237116553",4,4,58,"Yes"
"No","SMB Mid","Ekerö","Stockholm","Sweden","98","628352","0,249506","23006,2","0,19440064",153,9999,7,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","39708","0,084335","41809,37","0,105277119",140,9999,7,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","19602","0,239206","3127","0,095724336",182,9999,1,"No"
"No","SMB Small","Falun","Dalarna","Sweden","1,8","19602","0,755889","11859,4","0,126438943",75,9999,5,"No"
"Yes","SMB Large","Rudersdal","Hovedstaden","Denmark","31,8","407358","0,167608","962681,52","0,116766083",29,61,97,"Yes"
"No","SMB Small","Stockholm","Stockholm","Sweden","6,5","43420","0,1504","153170,69","0,102444534",20,70,20,"Yes"
"No","SMB Small","Malmö","Skåne","Sweden","1,8","18828","0,137244","7789","0,20737707",139,9999,2,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,3","10907","1","3990","0,306120301",120,9999,1,"No"
"No","SMB Large","Kolding","Syddanmark","Denmark","69,8","945092","0,254335","173356,35","0,126916205",153,778,57,"Yes"
"No","SMB Small","Skellefteå","Västerbotten","Sweden","1,8","16182","0","2232","0,018862007",347,9999,1,"No"
"No","SMB Small","Nykvarn","Stockholm","Sweden","1,3","14157","0,534017","2337","0,182314934",41,9999,1,"No"
"No","SMB Small","Svendborg","Syddanmark","Denmark","30","287700","0,336864","22346,14","0,171316836",88,9999,2,"No"
"Yes","SMB Small","Eskilstuna","Södermanland","Sweden","1,8","0","0,39268","10310,53","0,163889732",711,9999,5,"No"
"No","SMB Small","Öckerö","Västra Götaland","Sweden","1,8","18666","0,220248","3378","0,14089698",1,41,2,"Yes"
"No","SMB Small","Örebro","Örebro","Sweden","6,5","0","0,297745","1508","0,097732095",396,9999,1,"No"
"No","SMB Small","Helsinki","Uusimaa","Finland","6,5","0","1","2649,27","0,233188765",657,9999,1,"No"
"No","SMB Small","Tampere","Pirkanmaa","Finland","68","99898,8","0,602149","34273,73","0,223755337",82,9999,5,"No"
"Yes","SMB Small","Värnamo","Jönköping","Sweden","1,3","7200,7","0","39432,87","0,090390834",214,214,1,"Yes"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","39708","0,009034","169700,77","0,076471604",4,768,26,"Yes"
"No","SMB Small","Malmö","Skåne","Sweden","1,3","0","0,129226","20793","0,120565094",379,9999,5,"No"
"No","SMB Small","Strömstad","Västra Götaland","Sweden","1,8","19602","0,79162","14392","0,157820317",350,9999,6,"No"
"No","SMB Small","Ekerö","Stockholm","Sweden","6,5","0","0,144816","36694,6","0,113475552",378,9999,5,"No"
"No","SMB Small","Nacka","Stockholm","Sweden","1,8","0","0","9999","0,055743574",637,9999,1,"No"
"No","SMB Small","Holmestrand","Vestfold","Norway","1,8","9936","0,115471","33530,22","0,127757587",259,9999,1,"No"
"Yes","SMB Small","Stockholm","Stockholm","Sweden","13,4","126228","0,000721","192658,28","0,034323051",21,9999,5,"No"
"Yes","SMB Small","Helsingborg","Skåne","Sweden","6,5","76245","0,146879","31063,93","0,105516913",6,9999,4,"No"
"No","SMB Small","Södertälje","Stockholm","Sweden","6,5","43420","0","2519,2","0,148705938",201,9999,1,"No"
