"LineDiscount","CustomerUnit","Municipality","County","Country","NoOfEmployees","Potential","AccessoryRatio","NSB","CPLow","Days","TargetDays","NrOfOrder","Software"
"No","SMB Large","Stockholm","Stockholm","Sweden","78,1","916113","0,377606","862066,31","0,157462783",5,9999,165,"No"
"No","SMB Small","Ånge","Västernorrland","Sweden","1,3","0","0,899578","10446,01","0,1186386",693,9999,1,"No"
"No","SMB Small","Slagelse","Sjælland","Denmark","30","0","0,241925","4540,99","0,121588024",516,9999,1,"No"
"No","SMB Small","Oslo","Oslo","Norway","1,3","12376","0","12051,62","0,135931103",75,9999,1,"No"
"Yes","SMB Mid","Rygge","Østfold","Norway","1,8","40104","0,14947","283623,46","0,109801248",7,347,30,"Yes"
"Yes","Public","Espoo","Uusimaa","Finland","931,8","894184,02","0,154561","4595239,07","0,046650073",5,9999,17,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,3","0","0","599","0,135409015",391,9999,1,"No"
"No","SMB Large","Høje-Taastrup","Hovedstaden","Denmark","60","1519800","0,198509","167673,77","0,13724848",173,9999,37,"No"
"Yes","Corporate","Åmål","Västra Götaland","Sweden","30","351900","0,140333","233378,36","0,099651142",55,566,60,"Yes"
"No","SMB Mid","Hillerød","Hovedstaden","Denmark","6,5","62335","0,094464","46289,09","0,184712424",335,893,6,"Yes"
"No","SMB Small","Mjölby","Östergötland","Sweden","1,3","28678","0,495771","41200,4","0,186718333",26,9999,18,"No"
"No","SMB Small","Tomelilla","Skåne","Sweden","1,3","10270","0","2519","0,07373164",84,9999,1,"No"
"No","SMB Small","Kalix","Norrbotten","Sweden","1,8","0","0","3199","0,053732416",582,9999,1,"No"
"No","SMB Small","Enköping","Uppsala","Sweden","13,4","295604","0,083092","179462,23","0,091702583",46,9999,20,"No"
"Yes","SMB Small","Mjölby","Östergötland","Sweden","1,8","19602","0,456159","6283,09","0,185014062",250,9999,8,"No"
"No","Corporate","Raahe","Pohjois-Pohjanmaa","Finland","137","201266,7","1","5975,5","0,655374446",160,9999,14,"No"
"No","SMB Small","Haninge","Stockholm","Sweden","6,5","43420","0,207901","4670,47","0,187276655",193,9999,3,"No"
"No","SMB Small","København","Hovedstaden","Denmark","-1","16653","1","1544,83","0,228970178",333,9999,2,"No"
"No","SMB Small","Tromsø","Troms","Norway","-1","0","0,185438","3113,87","0,106478434",613,9999,1,"No"
"No","SMB Small","Falun","Dalarna","Sweden","1,3","14157","0,387005","4956","0,053274818",183,9999,2,"No"
"No","SMB Small","Borås","Västra Götaland","Sweden","1,8","21114","0,124312","2799,4","0,047295849",175,9999,1,"No"
"No","SMB Small","Tinn","Telemark","Norway","1,3","0","0","1287,01","0,213735713",629,9999,1,"No"
"No","SMB Large","Göteborg","Västra Götaland","Sweden","30","0","0,339062","31770","0,148962543",368,9999,4,"No"
"Yes","Public","Hjørring","Nordjylland","Denmark","1656,1","19361310","0,245075","8248682,32","0,043456623",12,438,342,"Yes"
"No","SMB Small","Strängnäs","Södermanland","Sweden","1,8","0","0","3509","0,051610145",683,9999,1,"No"
"No","SMB Small","Kinda","Östergötland","Sweden","1,8","0","0,018698","39790","0,07409902",505,9999,4,"No"
"No","SMB Small","Lejre","Sjælland","Denmark","1,3","0","0,431591","1848,6","0,271724548",522,9999,2,"No"
"No","SMB Mid","Malmö","Skåne","Sweden","30","0","0,04866","205218","0,106297108",392,701,10,"Yes"
"No","SMB Small","Vårgårda","Västra Götaland","Sweden","1,8","15102","0,362669","19282","0,053124676",277,9999,3,"No"
"No","SMB Small","Sundsvall","Västernorrland","Sweden","1,8","19602","0,017062","30416,7","0,108231991",280,9999,2,"No"
"Yes","Corporate","Stockholm","Stockholm","Sweden","-1","0","0,135666","194069,72","0,136390571",396,9999,21,"No"
"Yes","SMB Mid","Rudersdal","Hovedstaden","Denmark","1,3","16653","0,38396","757171,52","0,125048311",263,879,195,"Yes"
"No","SMB Small","Malmö","Skåne","Sweden","8,3","86071","0,046748","23509","0,143259177",54,54,3,"Yes"
"No","SMB Small","Favrskov","Midtjylland","Denmark","30","230400","0","2876,48","0,321406719",342,9999,3,"No"
"No","SMB Small","Eksjö","Jönköping","Sweden","1,8","0","0","6597","0,078120358",358,9999,4,"No"
"No","SMB Small","Mora","Dalarna","Sweden","68","454240","0,699766","3857","0,188086596",204,9999,3,"No"
"Yes","Corporate","Karlskrona","Blekinge","Sweden","68","1500080","0,072817","461914,88","0,086300143",1,553,62,"Yes"
"No","SMB Small","Kristianstad","Skåne","Sweden","1,3","14157","0,243285","81818,33","0,117202343",34,589,16,"Yes"
"No","SMB Small","Stockholm","Stockholm","Sweden","6,5","0","0,145857","105233","0,114221299",544,9999,6,"No"
"No","SMB Small","Götene","Västra Götaland","Sweden","1,8","16182","0","519","0,096339114",295,295,1,"Yes"
"No","SMB Small","Ale","Västra Götaland","Sweden","1,8","21114","0,351501","8651,46","0,158956985",264,9999,8,"No"
"No","SMB Large","Høje-Taastrup","Hovedstaden","Denmark","13,4","339422","0,375254","75691,66","0,165957386",118,1050,11,"Yes"
"No","SMB Small","Kungälv","Västra Götaland","Sweden","13,4","112426","0","9444","0,103422279",235,235,1,"Yes"
"No","SMB Mid","Sollentuna","Stockholm","Sweden","13,4","120466","0,229415","75566","0,161285631",1,786,28,"Yes"
"No","SMB Mid","Malmö","Skåne","Sweden","30","0","0,354025","3093","0,189647591",462,9999,2,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","6,5","61230","0,049021","98527,89","0,097580898",33,33,21,"Yes"
